"Label (Grouping)","Banks County, Georgia!!Estimate","Banks County, Georgia!!Estimate Margin of Error","Banks County, Georgia!!Percent","Banks County, Georgia!!Percent Margin of Error","Barrow County, Georgia!!Estimate","Barrow County, Georgia!!Estimate Margin of Error","Barrow County, Georgia!!Percent","Barrow County, Georgia!!Percent Margin of Error","Clarke County, Georgia!!Estimate","Clarke County, Georgia!!Estimate Margin of Error","Clarke County, Georgia!!Percent","Clarke County, Georgia!!Percent Margin of Error","Elbert County, Georgia!!Estimate","Elbert County, Georgia!!Estimate Margin of Error","Elbert County, Georgia!!Percent","Elbert County, Georgia!!Percent Margin of Error","Franklin County, Georgia!!Estimate","Franklin County, Georgia!!Estimate Margin of Error","Franklin County, Georgia!!Percent","Franklin County, Georgia!!Percent Margin of Error","Habersham County, Georgia!!Estimate","Habersham County, Georgia!!Estimate Margin of Error","Habersham County, Georgia!!Percent","Habersham County, Georgia!!Percent Margin of Error","Hart County, Georgia!!Estimate","Hart County, Georgia!!Estimate Margin of Error","Hart County, Georgia!!Percent","Hart County, Georgia!!Percent Margin of Error","Jackson County, Georgia!!Estimate","Jackson County, Georgia!!Estimate Margin of Error","Jackson County, Georgia!!Percent","Jackson County, Georgia!!Percent Margin of Error","Madison County, Georgia!!Estimate","Madison County, Georgia!!Estimate Margin of Error","Madison County, Georgia!!Percent","Madison County, Georgia!!Percent Margin of Error","Oconee County, Georgia!!Estimate","Oconee County, Georgia!!Estimate Margin of Error","Oconee County, Georgia!!Percent","Oconee County, Georgia!!Percent Margin of Error","Oglethorpe County, Georgia!!Estimate","Oglethorpe County, Georgia!!Estimate Margin of Error","Oglethorpe County, Georgia!!Percent","Oglethorpe County, Georgia!!Percent Margin of Error","Rabun County, Georgia!!Estimate","Rabun County, Georgia!!Estimate Margin of Error","Rabun County, Georgia!!Percent","Rabun County, Georgia!!Percent Margin of Error","Stephens County, Georgia!!Estimate","Stephens County, Georgia!!Estimate Margin of Error","Stephens County, Georgia!!Percent","Stephens County, Georgia!!Percent Margin of Error","Towns County, Georgia!!Estimate","Towns County, Georgia!!Estimate Margin of Error","Towns County, Georgia!!Percent","Towns County, Georgia!!Percent Margin of Error","White County, Georgia!!Estimate","White County, Georgia!!Estimate Margin of Error","White County, Georgia!!Percent","White County, Georgia!!Percent Margin of Error"
"    Not a U.S. citizen","430","±98","75.8%","±19.3","2,706","±499","60.4%","±8.0","9,442","±846","74.6%","±3.8","438","±147","71.8%","±13.4","361","±122","64.3%","±11.7","2,747","±434","76.5%","±7.4","483","±179","94.5%","±6.6","1,779","±401","67.2%","±8.9","495","±143","68.7%","±20.7","1,033","±282","59.6%","±10.2","226","±112","77.4%","±17.3","831","±191","84.2%","±12.0","651","±197","86.2%","±8.3","105","±82","49.5%","±26.3","159","±129","31.5%","±21.9"
"YEAR OF ENTRY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population born outside the United States","645","±180","645","(X)","4,909","±605","4,909","(X)","14,023","±775","14,023","(X)","703","±184","703","(X)","631","±153","631","(X)","3,783","±338","3,783","(X)","627","±188","627","(X)","3,211","±321","3,211","(X)","804","±190","804","(X)","2,079","±368","2,079","(X)","371","±154","371","(X)","1,082","±223","1,082","(X)","863","±238","863","(X)","252","±135","252","(X)","621","±221","621","(X)"
"    Native","78","±53","78","(X)","432","±131","432","(X)","1,361","±288","1,361","(X)","93","±70","93","(X)","70","±57","70","(X)","194","±95","194","(X)","116","±71","116","(X)","562","±322","562","(X)","83","±65","83","(X)","346","±144","346","(X)","79","±81","79","(X)","95","±49","95","(X)","108","±97","108","(X)","40","±49","40","(X)","117","±97","117","(X)"
"    Entered 2000 or later","11","±16","14.1%","±17.7","5","±10","1.2%","±2.3","207","±120","15.2%","±8.1","20","±38","21.5%","±30.8","11","±25","15.7%","±32.5","30","±36","15.5%","±17.5","16","±25","13.8%","±20.7","0","±132","0.0%","±6.9","0","±132","0.0%","±35.9","38","±53","11.0%","±15.0","0","±132","0.0%","±36.9","14","±23","14.7%","±22.7","49","±62","45.4%","±37.5","2","±7","5.0%","±24.1","0","±132","0.0%","±28.2"
"    Entered before 2000","67","±46","85.9%","±17.7","427","±130","98.8%","±2.3","1,154","±262","84.8%","±8.1","73","±54","78.5%","±30.8","59","±54","84.3%","±32.5","164","±90","84.5%","±17.5","100","±65","86.2%","±20.7","562","±322","100.0%","±6.9","83","±65","100.0%","±35.9","308","±135","89.0%","±15.0","79","±81","100.0%","±36.9","81","±45","85.3%","±22.7","59","±56","54.6%","±37.5","38","±48","95.0%","±24.1","117","±97","100.0%","±28.2"
"    Foreign born","567","±173","567","(X)","4,477","±589","4,477","(X)","12,662","±749","12,662","(X)","610","±175","610","(X)","561","±142","561","(X)","3,589","±357","3,589","(X)","511","±180","511","(X)","2,649","±436","2,649","(X)","721","±183","721","(X)","1,733","±341","1,733","(X)","292","±114","292","(X)","987","±210","987","(X)","755","±197","755","(X)","212","±106","212","(X)","504","±222","504","(X)"
"    Entered 2000 or later","291","±120","51.3%","±19.2","1,371","±378","30.6%","±7.2","5,774","±750","45.6%","±4.6","356","±197","58.4%","±21.6","302","±123","53.8%","±16.3","811","±339","22.6%","±8.4","130","±67","25.4%","±15.3","983","±369","37.1%","±10.3","307","±299","42.6%","±32.8","711","±247","41.0%","±11.6","35","±57","12.0%","±19.0","367","±142","37.2%","±13.4","412","±170","54.6%","±15.2","92","±74","43.4%","±23.2","61","±82","12.1%","±17.4"
"    Entered before 2000","276","±162","48.7%","±19.2","3,106","±504","69.4%","±7.2","6,888","±600","54.4%","±4.6","254","±118","41.6%","±21.6","259","±106","46.2%","±16.3","2,778","±321","77.4%","±8.4","381","±183","74.6%","±15.3","1,666","±298","62.9%","±10.3","414","±206","57.4%","±32.8","1,022","±278","59.0%","±11.6","257","±120","88.0%","±19.0","620","±198","62.8%","±13.4","343","±129","45.4%","±15.2","120","±65","56.6%","±23.2","443","±225","87.9%","±17.4"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Foreign-born population, excluding population born at sea","567","±173","567","(X)","4,477","±589","4,477","(X)","12,662","±749","12,662","(X)","610","±175","610","(X)","561","±142","561","(X)","3,589","±357","3,589","(X)","511","±180","511","(X)","2,649","±436","2,649","(X)","721","±183","721","(X)","1,733","±341","1,733","(X)","292","±114","292","(X)","987","±210","987","(X)","755","±197","755","(X)","212","±106","212","(X)","504","±222","504","(X)"
"    Europe","0","±132","0.0%","±6.8","643","±258","14.4%","±5.5","1,577","±306","12.5%","±2.2","52","±50","8.5%","±8.5","11","±14","2.0%","±2.4","179","±98","5.0%","±2.6","172","±149","33.7%","±21.8","186","±129","7.0%","±4.6","53","±58","7.4%","±7.8","222","±108","12.8%","±6.4","49","±54","16.8%","±17.0","55","±55","5.6%","±5.3","89","±74","11.8%","±9.1","65","±48","30.7%","±20.0","195","±136","38.7%","±19.3"
"    Asia","101","±144","17.8%","±17.2","1,110","±189","24.8%","±4.5","3,152","±357","24.9%","±2.6","130","±63","21.3%","±9.2","168","±61","29.9%","±9.1","764","±167","21.3%","±3.6","0","±132","0.0%","±7.5","652","±136","24.6%","±5.6","66","±91","9.2%","±11.4","589","±190","34.0%","±9.0","39","±35","13.4%","±12.7","158","±48","16.0%","±4.3","153","±52","20.3%","±7.3","33","±36","15.6%","±17.3","52","±56","10.3%","±9.6"
"    Africa","0","±132","0.0%","±6.8","266","±227","5.9%","±4.8","610","±229","4.8%","±1.7","3","±8","0.5%","±1.3","6","±9","1.1%","±1.7","7","±13","0.2%","±0.4","0","±132","0.0%","±7.5","65","±100","2.5%","±3.7","26","±30","3.6%","±4.0","209","±204","12.1%","±10.8","0","±132","0.0%","±12.8","0","±132","0.0%","±4.0","129","±112","17.1%","±12.4","0","±132","0.0%","±17.1","0","±132","0.0%","±7.6"
"    Oceania","0","±132","0.0%","±6.8","23","±40","0.5%","±0.9","83","±86","0.7%","±0.7","7","±11","1.1%","±1.8","0","±132","0.0%","±6.9","0","±132","0.0%","±1.1","0","±132","0.0%","±7.5","15","±24","0.6%","±0.9","0","±132","0.0%","±5.4","0","±132","0.0%","±2.3","0","±132","0.0%","±12.8","0","±132","0.0%","±4.0","0","±132","0.0%","±5.2","0","±132","0.0%","±17.1","0","±132","0.0%","±7.6"
"    Latin America","436","±78","76.9%","±18.0","2,392","±457","53.4%","±6.3","6,893","±486","54.4%","±2.7","418","±158","68.5%","±13.0","376","±115","67.0%","±9.2","2,624","±251","73.1%","±4.1","339","±100","66.3%","±21.8","1,687","±391","63.7%","±8.1","576","±141","79.9%","±12.9","632","±172","36.5%","±9.3","204","±107","69.9%","±22.0","774","±180","78.4%","±6.4","361","±98","47.8%","±10.9","85","±73","40.1%","±23.6","244","±137","48.4%","±18.7"
"    Northern America","30","±47","5.3%","±7.8","43","±44","1.0%","±1.0","347","±139","2.7%","±1.1","0","±132","0.0%","±6.3","0","±132","0.0%","±6.9","15","±28","0.4%","±0.8","0","±132","0.0%","±7.5","44","±51","1.7%","±1.9","0","±132","0.0%","±5.4","81","±45","4.7%","±2.7","0","±132","0.0%","±12.8","0","±132","0.0%","±4.0","23","±28","3.0%","±3.7","29","±30","13.7%","±14.5","13","±16","2.6%","±3.8"
"LANGUAGE SPOKEN AT HOME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 5 years and over","16,678","±44","16,678","(X)","60,612","±4","60,612","(X)","107,985","±5","107,985","(X)","19,132","±148","19,132","(X)","20,768","±82","20,768","(X)","39,318","±125","39,318","(X)","23,348","±26","23,348","(X)","53,992","±63","53,992","(X)","26,095","±161","26,095","(X)","29,664","±145","29,664","(X)","13,728","±77","13,728","(X)","15,423","±73","15,423","(X)","24,307","±50","24,307","(X)","10,054","±27","10,054","(X)","24,910","±90","24,910","(X)"
"    English only","15,818","±146","94.8%","±0.9","54,129","±705","89.3%","±1.2","93,550","±775","86.6%","±0.7","18,239","±153","95.3%","±1.0","19,938","±164","96.0%","±0.7","34,679","±386","88.2%","±0.9","22,559","±222","96.6%","±0.9","49,934","±435","92.5%","±0.8","25,105","±227","96.2%","±0.7","27,547","±332","92.9%","±1.1","13,090","±238","95.4%","±1.6","14,096","±175","91.4%","±1.2","23,384","±241","96.2%","±0.9","9,724","±140","96.7%","±1.5","24,305","±223","97.6%","±0.8"
"    Language other than English","860","±144","5.2%","±0.9","6,483","±705","10.7%","±1.2","14,435","±775","13.4%","±0.7","893","±198","4.7%","±1.0","830","±155","4.0%","±0.7","4,639","±370","11.8%","±0.9","789","±222","3.4%","±0.9","4,058","±424","7.5%","±0.8","990","±178","3.8%","±0.7","2,117","±329","7.1%","±1.1","638","±219","4.6%","±1.6","1,327","±194","8.6%","±1.2","923","±229","3.8%","±0.9","330","±147","3.3%","±1.5","605","±209","2.4%","±0.8"
"        Speak English less than ""very well""","592","±133","3.5%","±0.8","2,696","±430","4.4%","±0.7","7,136","±635","6.6%","±0.6","378","±114","2.0%","±0.6","454","±106","2.2%","±0.5","2,810","±291","7.1%","±0.7","421","±157","1.8%","±0.7","1,834","±289","3.4%","±0.5","529","±140","2.0%","±0.5","860","±270","2.9%","±0.9","146","±111","1.1%","±0.8","652","±186","4.2%","±1.2","461","±203","1.9%","±0.8","188","±109","1.9%","±1.1","169","±130","0.7%","±0.5"
"        Spanish","664","±137","4.0%","±0.8","3,434","±488","5.7%","±0.8","8,963","±562","8.3%","±0.5","701","±167","3.7%","±0.9","596","±128","2.9%","±0.6","3,708","±279","9.4%","±0.7","522","±95","2.2%","±0.4","2,812","±277","5.2%","±0.5","846","±128","3.2%","±0.5","974","±233","3.3%","±0.8","532","±221","3.9%","±1.6","1,064","±159","6.9%","±1.0","521","±183","2.1%","±0.8","159","±95","1.6%","±0.9","426","±191","1.7%","±0.8"
"            Speak English less than ""very well""","459","±123","2.8%","±0.7","1,852","±387","3.1%","±0.6","5,424","±597","5.0%","±0.6","289","±84","1.5%","±0.4","328","±90","1.6%","±0.4","2,379","±264","6.1%","±0.7","287","±72","1.2%","±0.3","1,286","±220","2.4%","±0.4","476","±137","1.8%","±0.5","436","±203","1.5%","±0.7","135","±104","1.0%","±0.8","643","±186","4.2%","±1.2","280","±182","1.2%","±0.8","126","±94","1.3%","±0.9","158","±129","0.6%","±0.5"
"        Other Indo-European languages","38","±28","0.2%","±0.2","1,116","±389","1.8%","±0.6","2,545","±413","2.4%","±0.4","72","±75","0.4%","±0.4","68","±45","0.3%","±0.2","377","±206","1.0%","±0.5","267","±188","1.1%","±0.8","448","±232","0.8%","±0.4","35","±44","0.1%","±0.2","535","±209","1.8%","±0.7","21","±32","0.2%","±0.2","159","±128","1.0%","±0.8","210","±142","0.9%","±0.6","155","±100","1.5%","±1.0","132","±80","0.5%","±0.3"
"            Speak English less than ""very well""","0","±132","0.0%","±0.2","358","±156","0.6%","±0.3","723","±236","0.7%","±0.2","50","±73","0.3%","±0.4","23","±36","0.1%","±0.2","147","±87","0.4%","±0.2","134","±140","0.6%","±0.6","165","±114","0.3%","±0.2","22","±32","0.1%","±0.1","175","±116","0.6%","±0.4","0","±132","0.0%","±0.3","0","±132","0.0%","±0.3","84","±64","0.3%","±0.3","62","±67","0.6%","±0.7","0","±132","0.0%","±0.2"
"        Asian and Pacific Islander languages","158","±46","0.9%","±0.3","1,695","±239","2.8%","±0.4","2,251","±299","2.1%","±0.3","99","±55","0.5%","±0.3","148","±50","0.7%","±0.2","554","±193","1.4%","±0.5","0","±132","0.0%","±0.2","722","±134","1.3%","±0.2","78","±94","0.3%","±0.4","594","±179","2.0%","±0.6","85","±81","0.6%","±0.6","100","±69","0.6%","±0.4","165","±56","0.7%","±0.2","16","±31","0.2%","±0.3","47","±45","0.2%","±0.2"
"            Speak English less than ""very well""","133","±46","0.8%","±0.3","465","±159","0.8%","±0.3","752","±210","0.7%","±0.2","38","±19","0.2%","±0.1","97","±46","0.5%","±0.2","284","±130","0.7%","±0.3","0","±132","0.0%","±0.2","318","±108","0.6%","±0.2","29","±50","0.1%","±0.2","249","±141","0.8%","±0.5","11","±25","0.1%","±0.2","9","±17","0.1%","±0.1","97","±51","0.4%","±0.2","0","±132","0.0%","±0.4","11","±22","0.0%","±0.1"
"        Other languages","0","±132","0.0%","±0.2","238","±229","0.4%","±0.4","676","±310","0.6%","±0.3","21","±30","0.1%","±0.2","18","±24","0.1%","±0.1","0","±132","0.0%","±0.1","0","±132","0.0%","±0.2","76","±101","0.1%","±0.2","31","±44","0.1%","±0.2","14","±31","0.0%","±0.1","0","±132","0.0%","±0.3","4","±7","0.0%","±0.1","27","±32","0.1%","±0.1","0","±132","0.0%","±0.4","0","±132","0.0%","±0.2"
"            Speak English less than ""very well""","0","±132","0.0%","±0.2","21","±39","0.0%","±0.1","237","±166","0.2%","±0.2","1","±4","0.0%","±0.1","6","±9","0.0%","±0.1","0","±132","0.0%","±0.1","0","±132","0.0%","±0.2","65","±100","0.1%","±0.2","2","±4","0.0%","±0.1","0","±132","0.0%","±0.1","0","±132","0.0%","±0.3","0","±132","0.0%","±0.3","0","±132","0.0%","±0.2","0","±132","0.0%","±0.4","0","±132","0.0%","±0.2"
"ANCESTRY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","17,840","*****","17,840","(X)","66,359","*****","66,359","(X)","115,070","*****","115,070","(X)","20,421","*****","20,421","(X)","22,121","*****","22,121","(X)","42,212","*****","42,212","(X)","25,024","*****","25,024","(X)","58,347","*****","58,347","(X)","27,798","*****","27,798","(X)","31,508","*****","31,508","(X)","14,556","*****","14,556","(X)","16,266","*****","16,266","(X)","25,876","*****","25,876","(X)","10,430","*****","10,430","(X)","26,498","*****","26,498","(X)"
"    American","3,343","±622","18.7%","±3.5","13,665","±1,453","20.6%","±2.2","7,616","±908","6.6%","±0.8","3,691","±511","18.1%","±2.5","3,887","±535","17.6%","±2.4","5,799","±804","13.7%","±1.9","3,391","±532","13.6%","±2.1","12,451","±1,292","21.3%","±2.2","5,767","±817","20.7%","±2.9","4,639","±752","14.7%","±2.4","2,554","±582","17.5%","±4.0","1,650","±312","10.1%","±1.9","3,799","±729","14.7%","±2.8","1,216","±290","11.7%","±2.8","3,958","±879","14.9%","±3.3"
"    Arab","0","±132","0.0%","±0.2","25","±31","0.0%","±0.1","510","±170","0.4%","±0.1","10","±17","0.0%","±0.1","23","±29","0.1%","±0.1","32","±30","0.1%","±0.1","31","±38","0.1%","±0.2","110","±137","0.2%","±0.2","17","±22","0.1%","±0.1","39","±45","0.1%","±0.1","0","±132","0.0%","±0.3","30","±37","0.2%","±0.2","0","±132","0.0%","±0.2","0","±132","0.0%","±0.4","0","±132","0.0%","±0.2"
"    Czech","0","±132","0.0%","±0.2","26","±31","0.0%","±0.1","326","±127","0.3%","±0.1","0","±132","0.0%","±0.2","52","±44","0.2%","±0.2","22","±24","0.1%","±0.1","8","±14","0.0%","±0.1","50","±44","0.1%","±0.1","37","±59","0.1%","±0.2","313","±229","1.0%","±0.7","0","±132","0.0%","±0.3","29","±31","0.2%","±0.2","13","±21","0.1%","±0.1","21","±24","0.2%","±0.2","24","±27","0.1%","±0.1"
"    Danish","0","±132","0.0%","±0.2","126","±106","0.2%","±0.2","186","±83","0.2%","±0.1","27","±36","0.1%","±0.2","3","±5","0.0%","±0.1","64","±72","0.2%","±0.2","0","±132","0.0%","±0.2","86","±95","0.1%","±0.2","0","±132","0.0%","±0.1","122","±109","0.4%","±0.3","16","±26","0.1%","±0.2","53","±45","0.3%","±0.3","0","±132","0.0%","±0.2","47","±43","0.5%","±0.4","0","±132","0.0%","±0.2"
"    Dutch","61","±42","0.3%","±0.2","719","±295","1.1%","±0.4","1,169","±305","1.0%","±0.3","82","±63","0.4%","±0.3","154","±67","0.7%","±0.3","743","±316","1.8%","±0.7","157","±78","0.6%","±0.3","638","±242","1.1%","±0.4","327","±135","1.2%","±0.5","330","±151","1.0%","±0.5","246","±204","1.7%","±1.4","182","±102","1.1%","±0.6","386","±206","1.5%","±0.8","128","±59","1.2%","±0.6","363","±148","1.4%","±0.6"
"    English","1,508","±338","8.5%","±1.9","5,628","±673","8.5%","±1.0","12,600","±981","10.9%","±0.9","1,158","±255","5.7%","±1.2","2,145","±395","9.7%","±1.8","6,600","±804","15.6%","±1.9","2,110","±408","8.4%","±1.6","5,991","±831","10.3%","±1.4","2,518","±528","9.1%","±1.9","6,274","±823","19.9%","±2.6","1,187","±325","8.2%","±2.2","2,678","±453","16.5%","±2.8","1,927","±452","7.4%","±1.7","1,443","±248","13.8%","±2.4","4,227","±623","16.0%","±2.4"
"    French (except Basque)","181","±95","1.0%","±0.5","1,228","±503","1.9%","±0.8","2,249","±345","2.0%","±0.3","196","±127","1.0%","±0.6","210","±132","0.9%","±0.6","705","±239","1.7%","±0.6","185","±97","0.7%","±0.4","912","±238","1.6%","±0.4","211","±100","0.8%","±0.4","957","±295","3.0%","±0.9","149","±92","1.0%","±0.6","460","±235","2.8%","±1.4","462","±199","1.8%","±0.8","434","±183","4.2%","±1.8","751","±335","2.8%","±1.3"
"    French Canadian","24","±33","0.1%","±0.2","455","±259","0.7%","±0.4","314","±113","0.3%","±0.1","0","±132","0.0%","±0.2","4","±6","0.0%","±0.1","347","±283","0.8%","±0.7","20","±20","0.1%","±0.1","85","±102","0.1%","±0.2","40","±53","0.1%","±0.2","66","±58","0.2%","±0.2","1","±3","0.0%","±0.1","31","±33","0.2%","±0.2","43","±54","0.2%","±0.2","29","±36","0.3%","±0.3","101","±128","0.4%","±0.5"
"    German","724","±280","4.1%","±1.6","6,064","±756","9.1%","±1.1","11,428","±888","9.9%","±0.8","1,125","±374","5.5%","±1.8","1,760","±429","8.0%","±1.9","4,199","±595","9.9%","±1.4","1,642","±296","6.6%","±1.2","4,665","±568","8.0%","±1.0","1,999","±500","7.2%","±1.8","3,859","±684","12.2%","±2.2","1,435","±347","9.9%","±2.4","1,923","±371","11.8%","±2.3","2,102","±403","8.1%","±1.6","1,610","±302","15.4%","±2.9","2,865","±528","10.8%","±2.0"
"    Greek","0","±132","0.0%","±0.2","46","±46","0.1%","±0.1","494","±183","0.4%","±0.2","0","±132","0.0%","±0.2","0","±132","0.0%","±0.2","21","±29","0.0%","±0.1","39","±44","0.2%","±0.2","98","±87","0.2%","±0.1","14","±16","0.1%","±0.1","16","±21","0.1%","±0.1","0","±132","0.0%","±0.3","0","±132","0.0%","±0.2","53","±73","0.2%","±0.3","10","±16","0.1%","±0.2","188","±250","0.7%","±0.9"
"    Hungarian","1","±3","0.0%","±0.1","158","±123","0.2%","±0.2","492","±157","0.4%","±0.1","0","±132","0.0%","±0.2","12","±19","0.1%","±0.1","52","±35","0.1%","±0.1","0","±132","0.0%","±0.2","15","±23","0.0%","±0.1","17","±19","0.1%","±0.1","51","±47","0.2%","±0.1","70","±63","0.5%","±0.4","3","±4","0.0%","±0.1","19","±31","0.1%","±0.1","37","±35","0.4%","±0.3","79","±83","0.3%","±0.3"
"    Irish","1,508","±282","8.5%","±1.6","7,116","±865","10.7%","±1.3","10,380","±819","9.0%","±0.7","1,227","±307","6.0%","±1.5","2,144","±437","9.7%","±2.0","5,858","±690","13.9%","±1.6","1,860","±384","7.4%","±1.5","6,912","±862","11.8%","±1.5","2,528","±533","9.1%","±1.9","4,179","±612","13.3%","±1.9","1,784","±472","12.3%","±3.2","2,081","±407","12.8%","±2.5","2,351","±378","9.1%","±1.5","1,705","±309","16.3%","±3.0","3,844","±619","14.5%","±2.3"
"    Italian","123","±102","0.7%","±0.6","2,717","±725","4.1%","±1.1","2,650","±348","2.3%","±0.3","120","±84","0.6%","±0.4","241","±143","1.1%","±0.6","819","±258","1.9%","±0.6","205","±104","0.8%","±0.4","1,257","±378","2.2%","±0.6","251","±174","0.9%","±0.6","732","±229","2.3%","±0.7","241","±144","1.7%","±1.0","437","±207","2.7%","±1.3","295","±118","1.1%","±0.5","319","±172","3.1%","±1.7","612","±214","2.3%","±0.8"
"    Lithuanian","0","±132","0.0%","±0.2","12","±19","0.0%","±0.1","156","±109","0.1%","±0.1","15","±17","0.1%","±0.1","21","±32","0.1%","±0.1","19","±23","0.0%","±0.1","7","±11","0.0%","±0.1","126","±116","0.2%","±0.2","17","±27","0.1%","±0.1","25","±29","0.1%","±0.1","46","±59","0.3%","±0.4","19","±33","0.1%","±0.2","0","±132","0.0%","±0.2","0","±132","0.0%","±0.4","54","±49","0.2%","±0.2"
"    Norwegian","76","±99","0.4%","±0.6","382","±220","0.6%","±0.3","842","±207","0.7%","±0.2","83","±95","0.4%","±0.5","24","±29","0.1%","±0.1","15","±13","0.0%","±0.1","101","±75","0.4%","±0.3","141","±99","0.2%","±0.2","82","±65","0.3%","±0.2","150","±86","0.5%","±0.3","37","±55","0.3%","±0.4","205","±120","1.3%","±0.7","7","±12","0.0%","±0.1","71","±48","0.7%","±0.5","81","±66","0.3%","±0.3"
"    Polish","53","±43","0.3%","±0.2","1,070","±422","1.6%","±0.6","1,813","±357","1.6%","±0.3","49","±61","0.2%","±0.3","77","±64","0.3%","±0.3","549","±340","1.3%","±0.8","61","±48","0.2%","±0.2","824","±289","1.4%","±0.5","255","±188","0.9%","±0.7","305","±107","1.0%","±0.3","195","±182","1.3%","±1.3","143","±76","0.9%","±0.5","164","±105","0.6%","±0.4","61","±37","0.6%","±0.4","548","±258","2.1%","±1.0"
"    Portuguese","15","±16","0.1%","±0.1","90","±71","0.1%","±0.1","147","±77","0.1%","±0.1","14","±23","0.1%","±0.1","8","±12","0.0%","±0.1","89","±122","0.2%","±0.3","42","±44","0.2%","±0.2","95","±93","0.2%","±0.2","0","±132","0.0%","±0.1","38","±34","0.1%","±0.1","3","±6","0.0%","±0.1","0","±132","0.0%","±0.2","0","±132","0.0%","±0.2","17","±27","0.2%","±0.3","0","±132","0.0%","±0.2"
"    Russian","0","±132","0.0%","±0.2","356","±328","0.5%","±0.5","983","±242","0.9%","±0.2","0","±132","0.0%","±0.2","17","±20","0.1%","±0.1","62","±67","0.1%","±0.2","101","±136","0.4%","±0.5","185","±181","0.3%","±0.3","84","±56","0.3%","±0.2","105","±65","0.3%","±0.2","192","±228","1.3%","±1.6","112","±133","0.7%","±0.8","0","±132","0.0%","±0.2","17","±20","0.2%","±0.2","89","±108","0.3%","±0.4"
"    Scotch-Irish","124","±62","0.7%","±0.3","1,629","±440","2.5%","±0.7","3,120","±361","2.7%","±0.3","245","±112","1.2%","±0.6","471","±176","2.1%","±0.8","1,139","±319","2.7%","±0.8","573","±204","2.3%","±0.8","1,162","±322","2.0%","±0.6","567","±183","2.0%","±0.7","985","±230","3.1%","±0.7","584","±302","4.0%","±2.1","857","±250","5.3%","±1.5","557","±214","2.2%","±0.8","862","±212","8.3%","±2.0","1,112","±335","4.2%","±1.3"
"    Scottish","247","±95","1.4%","±0.5","1,354","±429","2.0%","±0.6","3,950","±396","3.4%","±0.3","141","±89","0.7%","±0.4","337","±97","1.5%","±0.4","1,000","±281","2.4%","±0.7","618","±172","2.5%","±0.7","1,179","±412","2.0%","±0.7","443","±190","1.6%","±0.7","1,460","±453","4.6%","±1.4","222","±139","1.5%","±1.0","562","±179","3.5%","±1.1","364","±179","1.4%","±0.7","456","±113","4.4%","±1.1","963","±284","3.6%","±1.1"
"    Slovak","0","±132","0.0%","±0.2","67","±84","0.1%","±0.1","102","±69","0.1%","±0.1","8","±12","0.0%","±0.1","19","±31","0.1%","±0.1","10","±23","0.0%","±0.1","0","±132","0.0%","±0.2","6","±7","0.0%","±0.1","0","±132","0.0%","±0.1","18","±22","0.1%","±0.1","0","±132","0.0%","±0.3","29","±33","0.2%","±0.2","0","±132","0.0%","±0.2","13","±20","0.1%","±0.2","14","±22","0.1%","±0.1"
"    Subsaharan African","0","±132","0.0%","±0.2","415","±300","0.6%","±0.5","1,697","±475","1.5%","±0.4","52","±43","0.3%","±0.2","56","±52","0.3%","±0.2","62","±73","0.1%","±0.2","650","±409","2.6%","±1.6","36","±37","0.1%","±0.1","17","±28","0.1%","±0.1","281","±252","0.9%","±0.8","3","±8","0.0%","±0.1","0","±132","0.0%","±0.2","180","±130","0.7%","±0.5","0","±132","0.0%","±0.4","9","±12","0.0%","±0.1"
"    Swedish","86","±103","0.5%","±0.6","433","±217","0.7%","±0.3","889","±208","0.8%","±0.2","53","±43","0.3%","±0.2","33","±33","0.1%","±0.2","261","±122","0.6%","±0.3","101","±74","0.4%","±0.3","221","±138","0.4%","±0.2","196","±141","0.7%","±0.5","200","±109","0.6%","±0.3","44","±54","0.3%","±0.4","62","±56","0.4%","±0.3","76","±62","0.3%","±0.2","137","±91","1.3%","±0.9","304","±198","1.1%","±0.7"
"    Swiss","0","±132","0.0%","±0.2","3","±5","0.0%","±0.1","170","±83","0.1%","±0.1","0","±132","0.0%","±0.2","3","±6","0.0%","±0.1","72","±73","0.2%","±0.2","8","±13","0.0%","±0.1","18","±24","0.0%","±0.1","80","±68","0.3%","±0.2","26","±27","0.1%","±0.1","19","±25","0.1%","±0.2","20","±24","0.1%","±0.1","19","±31","0.1%","±0.1","49","±42","0.5%","±0.4","43","±39","0.2%","±0.1"
